"ppt","type","trialNo","subjectGroup","condition1","title","content","trialText","head","stimFormat","pageBreak","stim1","stim2","key","ITI","ISI","presTime","random","randomBlock","feedbackIncorrect","feedbackCorrect","button1","button2","keyboard","responseType","responseOptions","orderPres","orderFile","timestamp","response","RT","correct","responseCode"
"ADHVGUSBXWCI","test",1,0,"apprentissage","na","na","Watch carefully these two families","na",".jpg","na","learn02","na","na","500","na","na","na",0,"na","na","NEXT","na","na","na","na",1,1,110607,"1",25870,0,NA
"ADHVGUSBXWCI","test",18,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M8","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",2,18,113506,"2",2392,1,NA
"ADHVGUSBXWCI","test",10,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M1","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",3,10,116880,"2",1551,1,NA
"ADHVGUSBXWCI","test",4,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B3","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",4,4,119233,"1",994,1,NA
"ADHVGUSBXWCI","test",17,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M7","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",5,17,121720,"2",1099,1,NA
"ADHVGUSBXWCI","test",2,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B1","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",6,2,124702,"1",1698,1,NA
"ADHVGUSBXWCI","test",15,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",7,15,127063,"2",1055,1,NA
"ADHVGUSBXWCI","test",3,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B2","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",8,3,129494,"1",1103,1,NA
"ADHVGUSBXWCI","test",7,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B6","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",9,7,132588,"2",1844,0,NA
"ADHVGUSBXWCI","test",12,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M3","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",10,12,135040,"2",932,1,NA
"ADHVGUSBXWCI","test",13,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M4","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",11,13,137278,"2",1021,1,NA
"ADHVGUSBXWCI","test",8,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B7","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",12,8,139348,"1",899,1,NA
"ADHVGUSBXWCI","test",9,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B8","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",13,9,142048,"1",1481,1,NA
"ADHVGUSBXWCI","test",14,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",14,14,144164,"2",898,1,NA
"ADHVGUSBXWCI","test",5,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B4","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",15,5,146334,"1",951,1,NA
"ADHVGUSBXWCI","test",11,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M2","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",16,11,148868,"2",1268,1,NA
"ADHVGUSBXWCI","test",6,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B5","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",17,6,151399,"1",930,1,NA
"ADHVGUSBXWCI","test",16,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M6","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",18,16,153591,"2",937,1,NA
"ADHVGUSBXWCI","test",4,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B4","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",19,54,363250,"5",7445,0,NA
"ADHVGUSBXWCI","test",12,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M4","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",20,62,367730,"6",3975,0,NA
"ADHVGUSBXWCI","test",7,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B7","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",21,57,370251,"4",2012,0,NA
"ADHVGUSBXWCI","test",10,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M2","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",22,60,372234,"6",1474,0,NA
"ADHVGUSBXWCI","test",8,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B8","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",23,58,375690,"5",2948,0,NA
"ADHVGUSBXWCI","test",9,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M1","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",24,59,377963,"7",1764,0,NA
"ADHVGUSBXWCI","test",11,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M3","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",25,61,379522,"7",1051,0,NA
"ADHVGUSBXWCI","test",16,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M8","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",26,66,381066,"6",1039,0,NA
"ADHVGUSBXWCI","test",3,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B3","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",27,53,383098,"4",1523,0,NA
"ADHVGUSBXWCI","test",2,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B2","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",28,52,385538,"5",1934,0,NA
"ADHVGUSBXWCI","test",5,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B5","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",29,55,387538,"4",1494,0,NA
"ADHVGUSBXWCI","test",15,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M7","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",30,65,388979,"6",937,0,NA
"ADHVGUSBXWCI","test",14,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M6","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",31,64,390738,"6",1251,0,NA
"ADHVGUSBXWCI","test",1,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B1","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",32,51,393130,"5",1886,0,NA
"ADHVGUSBXWCI","test",6,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","B6","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",33,56,394938,"5",1303,0,NA
"ADHVGUSBXWCI","test",13,3,"ratings3","na","na","Your general feelings about this member are:<br><br>Very negatives 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 Very positives","na",".jpg","na","M5","na","na","500","na","na","11",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",34,63,396314,"7",870,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",1,"na","na","na","na","u p ","na","na",35,75,419122,"p",570,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",5,"na","na","na","na","u p ","na","na",36,71,420947,"p",429,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",6,"na","na","na","na","u p ","na","na",37,72,422691,"u",353,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",4,"na","na","na","na","u p ","na","na",38,70,424731,"p",645,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",7,"na","na","na","na","u p ","na","na",39,81,426650,"p",525,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",5,"na","na","na","na","u p ","na","na",40,79,428586,"p",542,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",6,"na","na","na","na","u p ","na","na",41,80,430578,"u",598,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",3,"na","na","na","na","u p ","na","na",42,69,432771,"u",802,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",2,"na","na","na","na","u p ","na","na",43,76,434842,"u",682,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",1,"na","na","na","na","u p ","na","na",44,67,436714,"p",475,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",2,"na","na","na","na","u p ","na","na",45,68,438906,"u",797,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",4,"na","na","na","na","u p ","na","na",46,78,440610,"p",317,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",7,"na","na","na","na","u p ","na","na",47,73,442634,"u",629,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",8,"na","na","na","na","u p ","na","na",48,74,444708,"p",678,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",3,"na","na","na","na","u p ","na","na",49,77,446562,"p",459,0,NA
"ADHVGUSBXWCI","test",5,3,"affectivemisattributionprocedure3","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",8,"na","na","na","na","u p ","na","na",50,82,448314,"p",356,0,NA
"ADHVGUSBXWCI","test",2,0,"RWA","na","na","Our country needs free thinkers who will have the courage to stand up against traditional ways even if this upsets many people.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",51,148,459083,"6",4842,0,NA
"ADHVGUSBXWCI","test",7,0,"RWA","na","na","It would be best if newspapers were censored so that people would not be able to get hold of destructive and disgusting material.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",52,153,465074,"4",5487,0,NA
"ADHVGUSBXWCI","test",5,0,"RWA","na","na","Gods laws about abortion pornography and marriage must be strictly followed before it is too late violations must be punished.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",53,151,477291,"1",11710,0,NA
"ADHVGUSBXWCI","test",8,0,"RWA","na","na","Many good people challenge the state criticize the church and ignore the normal way of living.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",54,154,490259,"8",12460,0,NA
"ADHVGUSBXWCI","test",4,0,"RWA","na","na","Our society would be better off if we showed tolerance and understanding for untraditional values and opinions.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",55,150,494362,"7",3600,0,NA
"ADHVGUSBXWCI","test",12,0,"RWA","na","na","It is better to accept bad literature than to censor it.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",56,158,501091,"6",6222,0,NA
"ADHVGUSBXWCI","test",1,0,"RWA","na","na","Our country needs a powerful leader in order to destroy the radical and immoral currents prevailing in society today.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",57,147,506426,"5",4827,0,NA
"ADHVGUSBXWCI","test",13,0,"RWA","na","na","Facts show that we have to be harder against crime and sexual immorality in order to uphold law and order.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",58,159,510595,"2",3665,0,NA
"ADHVGUSBXWCI","test",10,0,"RWA","na","na","People ought to put less attention to the Bible and religion instead they ought to develop their own moral standards.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",59,156,514395,"7",3296,0,NA
"ADHVGUSBXWCI","test",9,0,"RWA","na","na","Our forefathers ought to be honored more for the way they have built our society at the same time we ought to put an end to those forces destroying it.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",60,155,521506,"5",6607,0,NA
"ADHVGUSBXWCI","test",6,0,"RWA","na","na","The society needs to show openness towards people thinking differently rather than a strong leader the world is not particularly evil or dangerous.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",61,152,527875,"5",5865,0,NA
"ADHVGUSBXWCI","test",15,0,"RWA","na","na","If the society so wants it is the duty of every true citizen to help eliminate the evil that poisons our country from within.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",62,161,534954,"4",6574,0,NA
"ADHVGUSBXWCI","test",14,0,"RWA","na","na","The situation in the society of today would be improved if troublemakers were treated with reason and humanity.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",63,160,539115,"6",3653,0,NA
"ADHVGUSBXWCI","test",3,0,"RWA","na","na","The old-fashioned ways and old-fashioned values still show the best way to live.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",64,149,541803,"4",2184,0,NA
"ADHVGUSBXWCI","test",11,0,"RWA","na","na","There are many radical immoral people trying to ruin things the society ought to stop them.<br><br>Very negative 1 - 2 - 3 - 4 - 5 - 6 - 7 Very positive","na","word","na","na","na","na","500","na","na","14",0,"na","na","na","na","1 2 3 4 5 6 7 8 9","na","na",65,157,550939,"3",8632,0,NA
"ADHVGUSBXWCI","form",6,0,"SECS","na","na","na","Gun ownership","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,560015,"10",4926,0,NA
"ADHVGUSBXWCI","form",10,0,"SECS","na","na","na","Business","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,564289,"55",3759,0,NA
"ADHVGUSBXWCI","form",7,0,"SECS","na","na","na","Traditional marriage","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,568789,"50",3984,0,NA
"ADHVGUSBXWCI","form",9,0,"SECS","na","na","na","Fiscal responsibility","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,572704,"60",3400,0,NA
"ADHVGUSBXWCI","form",2,0,"SECS","na","na","na","Limited government","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,576158,"50",2938,0,NA
"ADHVGUSBXWCI","form",1,0,"SECS","na","na","na","Abortion","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,580490,"50",3813,0,NA
"ADHVGUSBXWCI","form",5,0,"SECS","na","na","na","Welfare benefits","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,584022,"60",3016,0,NA
"ADHVGUSBXWCI","form",8,0,"SECS","na","na","na","Traditional values","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,586678,"30",2139,0,NA
"ADHVGUSBXWCI","form",4,0,"SECS","na","na","na","Religion","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,590503,"5",3310,0,NA
"ADHVGUSBXWCI","form",11,0,"SECS","na","na","na","The family unit","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,594024,"60",3007,0,NA
"ADHVGUSBXWCI","form",3,0,"SECS","na","na","na","Military and national security","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,598142,"50",3602,0,NA
"ADHVGUSBXWCI","form",12,0,"SECS","na","na","na","Patriotism","word","1","na","na","na","500","na","na","15",0,"na","na","na","na","na","slider","0_100_5",NA,NA,602552,"60",3896,0,NA
"AFMRBPDWJZMR","test",1,0,"apprentissage","na","na","Watch carefully these two families","na",".jpg","na","learn02","na","na","500","na","na","na",0,"na","na","NEXT","na","na","na","na",1,1,343183,"1",11649,0,NA
"AFMRBPDWJZMR","test",3,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B2","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",2,3,347446,"2",3740,0,NA
"AFMRBPDWJZMR","test",8,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B7","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",3,8,355705,"1",2828,1,NA
"AFMRBPDWJZMR","test",17,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M7","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",4,17,362524,"2",4159,1,NA
"AFMRBPDWJZMR","test",10,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M1","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",5,10,370528,"2",4942,1,NA
"AFMRBPDWJZMR","test",12,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M3","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",6,12,378771,"1",5442,0,NA
"AFMRBPDWJZMR","test",5,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B4","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",7,5,384337,"1",3193,1,NA
